Yiyecek ismi,Kategori,Ortalama Gramaj (g),Kalori (kcal),Protein (g),Yað (g),Karbonhidrat (g)
Domates,Sebze,125,22,1.1,0.2,4.8
Salatalýk,Sebze,280,45,2.0,0.3,10.9
Biber (Yeþil, Orta boy 1 adet),Sebze,75,24,0.9,0.2,5.5
Havuç (Orta boy 1 adet),Sebze,60,25,0.6,0.1,5.8
Brokoli (1 kase çið, doðranmýþ),Sebze,90,31,2.6,0.3,6.0
Ispanak (1 kase çið),Sebze,30,7,0.9,0.1,1.1
Kabak (Orta boy 5 dilim, 1 cm kalýnlýk),Sebze,20,4,0.2,0.0,0.9
Patates (Orta boy 1 adet, kabuklu, haþ.),Sebze,150,130,3.5,0.2,30.0
Soðan (Orta boy 1 adet),Sebze,110,44,1.2,0.1,10.3
Sarýmsak (1 diþ),Sebze,3,4,0.2,0.0,0.9
Brüksel Lahanasý (1/2 kase, haþ.),Sebze,80,28,2.0,0.2,5.5
Mantar (1 kase dilimlenmiþ, beyaz),Sebze,70,15,2.2,0.2,2.3
Karnabahar (1 kase doðranmýþ),Sebze,100,27,2.1,0.3,5.3
Enginar (Orta boy 1 adet, haþlanmýþ),Sebze,120,64,3.5,0.4,13.5
Kýrmýzý Lahana (1 kase, doðranmýþ),Sebze,70,28,1.3,0.1,6.5
Pýrasa (1 kase, doðranmýþ),Sebze,90,54,1.3,0.3,12.6
Kereviz (Orta boy 1 sap),Sebze,40,6,0.3,0.0,1.4
Börülce (Orta boy 1 adet),Sebze,40,4,0.3,0.0,0.9
Taze Fasulye (1 kase, haþlanmýþ),Sebze,125,44,2.4,0.3,9.8
Bamya (1 kase, haþlanmýþ),Sebze,160,50,3.5,0.3,10.0
Kuþkonmaz (5 orta boy sap),Sebze,75,15,1.7,0.1,3.0
Taze Soðan (1 sap),Sebze,15,5,0.3,0.0,1.1
Turp (Küçük boy 5 adet),Sebze,75,12,0.5,0.1,2.5
Kara Lahana (1 kase, çið doðranmýþ),Sebze,70,35,2.5,0.5,5.5
Patlýcan (1 orta boy dilim, 1 cm kalýn.),Sebze,50,12,0.5,0.1,3.0
Kapya Biber (Orta boy 1 adet),Sebze,120,37,1.2,0.4,8.6
Brokoli (1 kase, haþlanmýþ),Sebze,160,10,5.0,0.6,29.0
Þalgam (Orta boy 1 adet),Sebze,155,37,1.2,0.1,8.4
Tere (1 kase, çið),Sebze,50,5,0.7,0.0,0.8
Nohut (1 kase, haþlanmýþ),Sebze,130,269,18.0,4.0,45.0
Kýrmýzý Biber (Acý, küçük boy 1 adet),Sebze,45,18,0.9,0.2,4.3
Kývýrcýk Marul (1 kase, doðranmýþ),Sebze,50,8,0.6,0.1,1.5
